ORDERDATE,ORDERNUMBER,ORDERLINENUMBER,PRODUCTCODE,PRODUCTLINE,QUANTITYORDERED,PRICEEACH,SALES
1/9/2003 0:00,10101,4,S18_2325,Vintage Cars,25,100,3782
3/18/2003 0:00,10110,4,S18_2325,Vintage Cars,33,100,3859.68
1/31/2003 0:00,10104,10,S24_2840,Classic Cars,44,39.6,1742.4
11/5/2003 0:00,10173,10,S18_2325,Vintage Cars,31,100,4492.83
5/28/2003 0:00,10126,5,S18_4600,Trucks and Buses,50,100,7083
1/26/2004 0:00,10214,4,S18_2325,Vintage Cars,27,100,3604.23
1/29/2003 0:00,10103,7,S32_3522,Trucks and Buses,45,75.63,3403.35
8/17/2004 0:00,10280,12,S24_1937,Vintage Cars,20,28.88,577.6
10/23/2003 0:00,10167,16,S24_2011,Ships,33,100,3812.16
10/11/2004 0:00,10304,17,S18_2325,Vintage Cars,24,100,2440.8
11/17/2004 0:00,10332,8,S18_2325,Vintage Cars,35,64.69,2264.15
10/14/2004 0:00,10306,4,S700_3505,Ships,32,90.15,2884.8
2/16/2005 0:00,10380,10,S18_2325,Vintage Cars,40,100,4931.6
11/12/2004 0:00,10328,10,S700_2466,Planes,37,100,4021.53
1/6/2005 0:00,10363,12,S18_3782,Motorcycles,32,89.12,2851.84
9/21/2003 0:00,10151,9,S18_2432,Trucks and Buses,39,69.28,2701.92
2/3/2005 0:00,10375,6,S700_1691,Planes,37,81.87,3029.19
1/26/2004 0:00,10214,2,S24_2022,Vintage Cars,49,47.94,2349.06
11/5/2004 0:00,10323,1,S18_4600,Trucks and Buses,47,100,6203.06
9/8/2004 0:00,10291,2,S18_2432,Trucks and Buses,26,57.73,1500.98
3/2/2004 0:00,10227,8,S24_3969,Vintage Cars,27,43.9,1185.3
11/19/2004 0:00,10334,1,S18_2432,Trucks and Buses,34,61.38,2086.92
9/16/2004 0:00,10297,1,S24_2000,Motorcycles,32,65.51,2096.32
3/1/2005 0:00,10386,4,S72_3212,Ships,43,100,5417.57
11/14/2003 0:00,10184,11,S24_2300,Trucks and Buses,24,100,3496.32
5/31/2005 0:00,10425,10,S18_2432,Trucks and Buses,19,49.22,935.18
12/2/2004 0:00,10350,15,S72_3212,Ships,20,100,2244.4
6/12/2003 0:00,10129,4,S24_3151,Vintage Cars,41,94.71,3883.11
11/14/2003 0:00,10184,10,S18_3232,Classic Cars,28,100,4409.72
10/29/2004 0:00,10315,6,S24_2011,Ships,35,100,4215.05
9/30/2004 0:00,10299,3,S18_3782,Motorcycles,39,55.95,2182.05
5/31/2005 0:00,10425,2,S50_1392,Trucks and Buses,18,100,1895.94
9/16/2004 0:00,10297,4,S18_2581,Planes,25,82.79,2069.75
10/14/2004 0:00,10306,11,S18_3259,Trains,40,91.76,3670.4
11/6/2003 0:00,10176,8,S24_1444,Classic Cars,27,68.78,1857.06
11/24/2004 0:00,10340,4,S50_1341,Vintage Cars,40,50.62,2024.8
3/30/2005 0:00,10398,15,S18_2581,Planes,34,76.88,2613.92
8/30/2004 0:00,10287,7,S24_3856,Classic Cars,36,100,4297.32
6/12/2003 0:00,10129,8,S72_3212,Ships,32,64.97,2079.04
9/9/2004 0:00,10293,5,S700_1938,Ships,29,71.89,2084.81
2/10/2005 0:00,10378,2,S24_4620,Classic Cars,41,100,4894.17
11/20/2003 0:00,10191,5,S18_3482,Classic Cars,23,100,3414.58
8/9/2004 0:00,10279,3,S24_2766,Classic Cars,49,79.97,3918.53
9/27/2004 0:00,10298,2,S18_2625,Motorcycles,32,48.46,1550.72
11/24/2004 0:00,10340,6,S700_2834,Planes,29,100,4094.51
6/1/2004 0:00,10253,8,S24_3856,Classic Cars,39,100,5148
2/3/2005 0:00,10375,3,S32_1374,Motorcycles,37,100,6353.27
3/3/2005 0:00,10389,5,S18_2625,Motorcycles,39,100,6981
10/23/2003 0:00,10167,2,S24_2841,Planes,21,69.88,1467.48
1/16/2004 0:00,10212,2,S24_3191,Classic Cars,27,79.62,2149.74
3/18/2003 0:00,10110,1,S18_2795,Vintage Cars,31,100,5074.39
5/5/2004 0:00,10246,1,S24_4048,Classic Cars,46,100,6311.2
10/22/2004 0:00,10314,7,S50_1514,Trains,38,61.51,2337.38
2/16/2005 0:00,10380,2,S18_4933,Classic Cars,24,100,4536
12/3/2003 0:00,10205,3,S18_2795,Vintage Cars,40,100,7492.4
3/2/2004 0:00,10227,4,S18_2795,Vintage Cars,29,100,5579.02
4/29/2004 0:00,10244,8,S18_2795,Vintage Cars,43,100,5950.34
1/31/2005 0:00,10373,8,S700_3962,Ships,37,100,4025.6
11/24/2004 0:00,10341,3,S50_4713,Motorcycles,38,100,4682.36
5/30/2005 0:00,10423,4,S24_4258,Vintage Cars,28,78.89,2208.92
12/2/2003 0:00,10203,7,S24_3371,Classic Cars,34,64.9,2206.6
5/31/2005 0:00,10425,6,S32_2509,Trucks and Buses,11,43.83,482.13
7/10/2003 0:00,10137,3,S18_2870,Classic Cars,37,100,4346.76
11/17/2004 0:00,10332,13,S24_3432,Classic Cars,31,37.18,1152.58
10/17/2003 0:00,10161,10,S18_3685,Classic Cars,36,100,5544
3/18/2003 0:00,10110,9,S18_4933,Classic Cars,42,61.29,2574.18
5/5/2004 0:00,10246,6,S24_2840,Classic Cars,49,36.07,1767.43
5/7/2003 0:00,10121,1,S50_4713,Motorcycles,44,74.85,3293.4
6/1/2004 0:00,10253,2,S18_2870,Classic Cars,37,100,5177.04
8/30/2004 0:00,10287,1,S18_2870,Classic Cars,44,100,5052.96
10/5/2003 0:00,10301,5,S18_2870,Classic Cars,22,100,3223.44
3/1/2005 0:00,10386,10,S700_2610,Ships,37,100,5017.57
1/10/2005 0:00,10366,2,S18_2870,Classic Cars,49,100,6144.6
2/10/2005 0:00,10379,5,S18_2870,Classic Cars,29,100,5127.2
12/7/2004 0:00,10355,1,S18_3782,Motorcycles,31,53.47,1657.57
1/29/2003 0:00,10103,12,S18_2949,Vintage Cars,27,83.07,2242.89
8/1/2003 0:00,10141,6,S24_2840,Classic Cars,21,42.43,891.03
5/28/2003 0:00,10126,12,S18_2949,Vintage Cars,31,90.17,2795.27
1/31/2005 0:00,10373,11,S24_3420,Vintage Cars,46,66,3036
11/20/2004 0:00,10336,8,S50_1392,Trucks and Buses,23,100,3141.57
11/14/2003 0:00,10186,5,S700_2047,Ships,24,99.57,2389.68
7/21/2004 0:00,10273,3,S24_3816,Vintage Cars,48,83.02,3984.96
12/2/2004 0:00,10350,1,S18_3140,Vintage Cars,44,100,5191.12
5/8/2003 0:00,10122,14,S24_4620,Classic Cars,29,71.14,2063.06
5/5/2004 0:00,10247,6,S32_3207,Trains,40,49.71,1988.4
1/29/2003 0:00,10103,14,S18_2957,Vintage Cars,35,57.46,2011.1
2/22/2004 0:00,10225,4,S24_3856,Classic Cars,40,100,4550
3/30/2005 0:00,10398,10,S700_3167,Planes,29,65.6,1902.4
6/4/2004 0:00,10255,2,S24_2022,Vintage Cars,37,45.7,1690.9
7/21/2004 0:00,10273,10,S72_3212,Ships,37,45.86,1696.82
8/17/2004 0:00,10280,5,S18_2957,Vintage Cars,43,68.71,2954.53
9/16/2004 0:00,10297,7,S32_4289,Vintage Cars,28,79.8,2234.4
11/19/2004 0:00,10334,4,S18_4600,Trucks and Buses,49,100,6763.47
7/23/2004 0:00,10275,18,S24_3949,Planes,41,81.89,3357.49
9/30/2004 0:00,10299,10,S24_1578,Motorcycles,47,100,5455.76
6/12/2003 0:00,10129,3,S700_2610,Ships,45,85.29,3838.05
4/28/2003 0:00,10119,9,S18_3029,Ships,21,89.46,1878.66
12/7/2004 0:00,10355,3,S24_2360,Motorcycles,41,70.65,2896.65
11/1/2004 0:00,10316,10,S24_2841,Planes,34,63.71,2166.14
10/23/2003 0:00,10167,7,S18_3029,Ships,46,73.12,3363.52
12/2/2004 0:00,10350,2,S18_3259,Trains,41,93.04,3814.64
11/1/2004 0:00,10316,12,S72_1253,Planes,34,43.7,1485.8
9/15/2004 0:00,10296,13,S18_3029,Ships,21,96.34,2023.14
12/10/2004 0:00,10358,6,S24_4258,Vintage Cars,41,100,6847
11/1/2004 0:00,10316,16,S24_3816,Vintage Cars,25,92.25,2306.25
10/16/2004 0:00,10311,6,S24_1046,Classic Cars,26,87.45,2273.7
12/2/2004 0:00,10350,6,S18_3029,Ships,43,64.97,2793.71
1/31/2005 0:00,10373,14,S700_1138,Ships,44,100,4627.92
3/30/2005 0:00,10398,18,S18_3029,Ships,28,72.26,2023.28
3/2/2004 0:00,10227,15,S24_3191,Classic Cars,40,79.62,3184.8
5/28/2003 0:00,10126,13,S18_3136,Vintage Cars,30,97.39,2921.7
10/6/2004 0:00,10303,1,S24_3969,Vintage Cars,24,40.21,965.04
10/11/2004 0:00,10304,8,S18_3136,Vintage Cars,26,85.87,2232.62
10/29/2004 0:00,10315,7,S18_4522,Vintage Cars,36,100,3602.16
1/29/2003 0:00,10103,15,S24_4258,Vintage Cars,25,100,2873
12/10/2004 0:00,10358,13,S18_4027,Classic Cars,25,100,2528.25
3/10/2005 0:00,10392,2,S18_3136,Vintage Cars,29,86.92,2520.68
5/30/2005 0:00,10423,2,S18_3136,Vintage Cars,21,84.82,1781.22
2/11/2003 0:00,10105,11,S18_3140,Vintage Cars,22,100,3065.04
1/15/2004 0:00,10211,7,S18_4721,Classic Cars,41,100,5673.58
6/6/2003 0:00,10128,2,S18_3140,Vintage Cars,41,100,5544.02
10/14/2004 0:00,10306,8,S18_4522,Vintage Cars,39,90.4,3525.6
3/18/2003 0:00,10110,15,S24_1628,Classic Cars,29,59.37,1721.73
11/7/2003 0:00,10177,9,S18_3140,Vintage Cars,23,100,3675.63
5/8/2003 0:00,10122,15,S18_4721,Classic Cars,28,100,3583.16
1/2/2004 0:00,10208,9,S18_3140,Vintage Cars,24,100,2622.48
2/22/2005 0:00,10383,9,S18_3140,Vintage Cars,24,61.52,1476.48
